gridNo,featNo,weight,grid_x,grid_y,grid_z
24472,5,-138.78232,14,16,32
24473,1,458.26706,14,16,33
24473,3,621.2337,14,16,33
24473,5,621.17523,14,16,33
24475,0,-506.46265,14,16,35
24475,1,-489.123,14,16,35
24509,1,365.1466,14,17,22
24510,0,-187.88054,14,17,23
24510,3,229.22035,14,17,23
24510,4,-212.72044,14,17,23
24510,5,229.36742,14,17,23
24512,0,-328.70865,14,17,25
24512,1,485.316,14,17,25
24512,4,-267.2676,14,17,25
24514,1,190.82777,14,17,27
24514,2,222.6983,14,17,27
24514,3,31.5392,14,17,27
24514,4,284.56882,14,17,27
24514,5,-126.80471,14,17,27
24515,0,-240.23997,14,17,28
24515,1,-508.50073,14,17,28
24515,3,126.84248,14,17,28
24515,4,472.11646,14,17,28
24515,5,126.9306,14,17,28
24516,0,375.86554,14,17,29
24516,1,-177.572,14,17,29
24516,3,9.328585,14,17,29
24516,4,284.13513,14,17,29
24516,5,9.345922,14,17,29
24517,3,497.20248,14,17,30
24517,5,104.56128,14,17,30
24518,1,-11.491643,14,17,31
24518,3,426.31958,14,17,31
24518,4,-370.0,14,17,31
24518,5,426.20422,14,17,31
24519,0,486.23227,14,17,32
24519,1,525.45636,14,17,32
24519,3,518.1862,14,17,32
24519,4,330.5474,14,17,32
24519,5,518.0032,14,17,32
24520,4,353.6888,14,17,33
24559,0,-286.2427,14,18,25
24559,1,295.68274,14,18,25
24559,3,279.5645,14,18,25
24559,5,279.71194,14,18,25
24561,0,279.16238,14,18,27
24561,1,453.237,14,18,27
24561,2,-184.6777,14,18,27
24561,3,176.45564,14,18,27
24561,4,71.719635,14,18,27
24561,5,176.43852,14,18,27
24562,0,-136.289,14,18,28
24562,4,81.671814,14,18,28
24563,0,681.39386,14,18,29
24563,1,392.7392,14,18,29
24563,2,469.77753,14,18,29
24563,3,638.1436,14,18,29
24563,5,520.03754,14,18,29
24564,0,-353.6945,14,18,30
24564,1,298.40433,14,18,30
24564,3,474.96725,14,18,30
24564,4,450.8529,14,18,30
24564,5,474.9111,14,18,30
24565,0,540.6815,14,18,31
24565,1,199.44199,14,18,31
24565,3,481.55206,14,18,31
24565,4,723.2436,14,18,31
24565,5,481.4367,14,18,31
24566,1,431.23547,14,18,32
24566,3,-473.72064,14,18,32
24566,4,-109.48955,14,18,32
24566,5,-473.77148,14,18,32
24568,1,-452.9646,14,18,34
24568,3,235.92517,14,18,34
24568,5,88.55257,14,18,34
24569,0,-510.65976,14,18,35
24569,1,-691.7611,14,18,35
24569,3,402.2225,14,18,35
24569,4,-343.3151,14,18,35
24569,5,402.34433,14,18,35
24570,1,456.02444,14,18,36
24571,1,304.8308,14,18,37
24604,3,475.63647,14,19,23
24604,5,475.576,14,19,23
24605,1,476.24182,14,19,24
24605,5,59.617046,14,19,24
24606,4,191.7334,14,19,25
24608,0,-310.6881,14,19,27
24608,1,-312.1485,14,19,27
24608,3,-473.36786,14,19,27
24608,4,43.33998,14,19,27
24608,5,-473.39325,14,19,27
24609,1,-397.11505,14,19,28
24609,3,687.42084,14,19,28
24609,5,687.27496,14,19,28
24610,0,479.00073,14,19,29
24610,1,321.48978,14,19,29
24610,3,-607.17456,14,19,29
24610,4,-153.12325,14,19,29
24610,5,-607.0299,14,19,29
24611,0,-662.1527,14,19,30
24611,1,-457.15662,14,19,30
24611,4,-303.63425,14,19,30
24612,0,-604.1744,14,19,31
24612,1,-311.24475,14,19,31
24612,3,-81.83291,14,19,31
24612,4,-229.72061,14,19,31
24612,5,-287.0084,14,19,31
24614,0,-706.62683,14,19,33
24614,1,-244.14166,14,19,33
24614,3,199.16307,14,19,33
24614,4,223.5489,14,19,33
24614,5,17.139275,14,19,33
24615,0,-71.4966,14,19,34
24615,1,-177.41272,14,19,34
24615,3,321.49246,14,19,34
24615,4,227.72688,14,19,34
24615,5,258.76166,14,19,34
24616,0,66.1848,14,19,35
24616,1,-328.5069,14,19,35
24616,2,197.32341,14,19,35
24616,3,491.34155,14,19,35
24616,4,355.01486,14,19,35
24616,5,502.7289,14,19,35
24617,2,328.95114,14,19,36
24617,4,-318.1721,14,19,36
24618,0,-391.97293,14,19,37
24618,1,-439.776,14,19,37
24652,1,339.41577,14,20,24
24652,4,-59.424595,14,20,24
24654,0,536.9643,14,20,26
24654,1,-205.55518,14,20,26
24654,2,537.10046,14,20,26
24654,3,675.24023,14,20,26
24654,4,519.2897,14,20,26
24654,5,675.24475,14,20,26
24656,1,479.4001,14,20,28
24656,3,538.65106,14,20,28
24656,5,538.6324,14,20,28
24657,1,479.41226,14,20,29
24657,4,-139.23872,14,20,29
24658,0,-532.7835,14,20,30
24658,1,-532.77716,14,20,30
24658,3,475.8979,14,20,30
24658,4,245.26459,14,20,30
24658,5,475.87823,14,20,30
24660,0,-540.18524,14,20,32
24660,1,-324.0906,14,20,32
24660,2,457.70264,14,20,32
24660,3,350.6127,14,20,32
24660,4,379.20947,14,20,32
24660,5,196.93112,14,20,32
24661,0,282.40607,14,20,33
24661,1,-487.41907,14,20,33
24661,3,264.40497,14,20,33
24661,4,244.2732,14,20,33
24661,5,292.57172,14,20,33
24662,0,-753.69385,14,20,34
24662,1,-356.63406,14,20,34
24662,2,161.06128,14,20,34
24662,3,-13.126924,14,20,34
24662,4,368.55646,14,20,34
24662,5,149.35909,14,20,34
24663,0,-385.50436,14,20,35
24663,1,-213.99832,14,20,35
24663,3,-563.9413,14,20,35
24663,4,504.61084,14,20,35
24663,5,-376.2918,14,20,35
24664,1,-395.6685,14,20,36
24664,3,196.94398,14,20,36
24703,1,-473.30096,14,21,28
24703,4,175.33798,14,21,28
24704,3,79.83913,14,21,29
24704,4,350.96902,14,21,29
24704,5,79.92738,14,21,29
24705,3,493.69604,14,21,30
24705,4,140.88171,14,21,30
24705,5,493.5656,14,21,30
24706,1,-137.42345,14,21,31
24706,3,505.93073,14,21,31
24706,4,269.41653,14,21,31
24707,1,412.0681,14,21,32
24707,3,657.5121,14,21,32
24707,4,743.002,14,21,32
24707,5,657.45984,14,21,32
24708,0,-373.43787,14,21,33
24708,1,265.10974,14,21,33
24708,4,375.43918,14,21,33
24709,0,-142.83083,14,21,34
24709,1,121.301186,14,21,34
24709,2,-102.01242,14,21,34
24709,4,475.0372,14,21,34
24710,1,399.29843,14,21,35
24710,4,405.0758,14,21,35
24711,3,481.17148,14,21,36
24711,4,113.08904,14,21,36
24711,5,481.16678,14,21,36
24747,1,387.80508,14,22,25
24748,4,43.20038,14,22,26
24751,3,454.2747,14,22,29
24751,4,158.8697,14,22,29
24751,5,454.24957,14,22,29
24753,1,410.61008,14,22,31
24753,3,327.92078,14,22,31
24753,4,-139.2935,14,22,31
24753,5,327.91782,14,22,31
24754,4,411.47296,14,22,32
24756,3,315.45135,14,22,34
24756,4,-324.13446,14,22,34
24756,5,604.47845,14,22,34
24757,0,249.47433,14,22,35
24757,1,-526.1753,14,22,35
24795,1,-62.083397,14,23,26
24796,1,537.4811,14,23,27
24796,3,360.86993,14,23,27
24796,5,360.8693,14,23,27
24800,1,72.5851,14,23,31
24803,4,-323.95712,14,23,34
24844,0,396.0532,14,24,28
24845,1,113.56508,14,24,29
24845,3,95.89445,14,24,29
24845,5,95.97253,14,24,29
24848,4,486.61136,14,24,32
24896,3,302.79764,14,25,33
24896,5,302.7277,14,25,33
25925,0,-300.85916,15,11,28
25928,1,480.47012,15,11,31
25969,1,542.05365,15,12,25
25971,4,-499.16187,15,12,27
25972,1,60.573498,15,12,28
25973,1,582.9532,15,12,29
25974,1,-337.5882,15,12,30
25974,4,440.78198,15,12,30
25975,3,464.3935,15,12,31
25975,5,464.42032,15,12,31
25976,3,-242.29442,15,12,32
25976,5,-242.27185,15,12,32
26017,0,205.84283,15,13,26
26017,2,205.96324,15,13,26
26017,3,264.0241,15,13,26
26017,4,310.1728,15,13,26
26019,0,22.868963,15,13,28
26019,1,263.93744,15,13,28
26019,3,496.5189,15,13,28
26019,5,656.2719,15,13,28
26020,1,-19.557165,15,13,29
26020,3,-325.03143,15,13,29
26021,1,397.7616,15,13,30
26022,1,484.80444,15,13,31
26022,4,47.2533,15,13,31
26023,1,-476.65002,15,13,32
26024,1,291.86844,15,13,33
26024,4,402.98685,15,13,33
26060,0,112.27102,15,14,22
26065,0,367.5608,15,14,27
26065,1,190.20262,15,14,27
26065,2,367.5058,15,14,27
26065,3,-64.720825,15,14,27
26065,4,374.11905,15,14,27
26065,5,-64.818436,15,14,27
26066,3,350.13654,15,14,28
26066,4,0.07073777,15,14,28
26066,5,350.24353,15,14,28
26067,0,13.391677,15,14,29
26067,1,111.84149,15,14,29
26067,2,-382.48215,15,14,29
26067,4,557.8846,15,14,29
26068,0,-470.53195,15,14,30
26068,1,-119.13751,15,14,30
26068,2,-470.51974,15,14,30
26068,3,347.5375,15,14,30
26068,4,-16.26699,15,14,30
26068,5,347.5349,15,14,30
26069,0,373.47995,15,14,31
26069,4,-97.029106,15,14,31
26070,0,-320.68658,15,14,32
26070,1,8.082791,15,14,32
26070,3,338.9997,15,14,32
26070,5,338.8167,15,14,32
26071,1,249.38155,15,14,33
26071,3,-120.15686,15,14,33
26071,5,-120.01962,15,14,33
26072,1,254.6484,15,14,34
26072,4,460.61612,15,14,34
26073,4,305.76736,15,14,35
26107,0,469.91272,15,15,22
26107,1,469.75952,15,15,22
26112,0,496.13922,15,15,27
26112,1,436.76685,15,15,27
26112,2,496.09875,15,15,27
26112,3,201.88579,15,15,27
26112,4,526.58,15,15,27
26112,5,201.87592,15,15,27
26113,0,283.586,15,15,28
26113,2,283.6609,15,15,28
26113,3,466.50156,15,15,28
26113,4,289.5451,15,15,28
26113,5,-41.168915,15,15,28
26114,1,33.649406,15,15,29
26114,4,542.3215,15,15,29
26115,0,-306.6307,15,15,30
26115,1,-341.4717,15,15,30
26115,2,-148.78514,15,15,30
26115,3,520.9844,15,15,30
26115,4,32.17177,15,15,30
26115,5,580.0729,15,15,30
26116,0,360.44788,15,15,31
26116,1,282.41342,15,15,31
26116,3,463.12292,15,15,31
26116,4,247.93126,15,15,31
26116,5,463.01294,15,15,31
26117,0,244.8682,15,15,32
26117,1,366.86,15,15,32
26117,3,433.1088,15,15,32
26117,4,508.86557,15,15,32
26117,5,433.14145,15,15,32
26118,0,305.6719,15,15,33
26118,1,182.77965,15,15,33
26118,3,124.10857,15,15,33
26118,4,379.55066,15,15,33
26118,5,124.05504,15,15,33
26120,1,142.09915,15,15,35
26120,4,407.96927,15,15,35
